nitrile_to_amide	CYPs
nitro_to_aniline	CYPs
nitro_to_nitroso	CYPs
oxidation_(C=N)	CYPs
oxidation_(amine_in_a_ring)	CYPs
oxidation_to_quinone	CYPs
oxidative_deamination_(amidine)	CYPs
oxidative_deamination_(aromatic)	CYPs
oxidative_deamination_(on_primary_carbon)	CYPs
oxidative_deamination_(on_secondary_carbon)	CYPs
oxidative_decarboxylation	CYPs
oxidative_dehalogenation	CYPs
phosphine_sulphide_hydrolysis	CYPs
primary_alcohol_oxidation_(aliphatic)	CYPs
primary_alcohol_oxidation_(benzylic)	CYPs
ring_closure_(NH1-5bonds-carboxyl)2	CYPs
ring_closure_(NH1-6bonds-carboxyl)	CYPs
ring_closure_(hydroxyl-5bonds-carboxyl)	CYPs
ring_closure_(hydroxyl-6bonds-carboxyl)	CYPs
secondary_N-depropylation	CYPs
secondary_alcohol_oxidation_(aliphatic)	CYPs
secondary_alcohol_oxidation_(benzylic)	CYPs
secondary_aliphatic_carbon_hydroxylation	CYPs
steroid_17hydroxy_to_keto	CYPs
steroid_d5d4	CYPs
sulfide_oxidation_(C-S-C)	CYPs
sulfide_oxidation_(c-S-C)	CYPs
sulfide_oxidation_(c-S-c)	CYPs
sulfoxide_oxidation_(C-S-C)	CYPs
sulfoxide_oxidation_(c-S-C)	CYPs
sulfoxide_oxidation_(c-S-c)	CYPs
sulfoxide_reduction	CYPs
tautomerisation_(keto->enol)	CYPs
tertiary_N-depropylation	CYPs
thiophene_oxidation	CYPs
try	CYPs
vinyl_oxidation	CYPs
xanthine_oxidation	CYPs
N-acetylation_(NH1)	NATs
N-acetylation_(NH1-CH3)	NATs
N-acetylation_(aniline)	NATs
N-acetylation_(aromatic_-nH-)	NATs
N-acetylation_(heteroatom_bonded_NH2)	NATs
N-glucuronidation_(N(CH3)2)	UGTs
N-glucuronidation_(NCH3_in_a_ring)	UGTs
N-glucuronidation_(NH_in_a_ring)	UGTs
N-glucuronidation_(aliphatic_NH2)	UGTs
N-glucuronidation_(aniline)	UGTs
N-glucuronidation_(aniline_NH1-R)	UGTs
N-glucuronidation_(aromatic_-nH-)	UGTs
N-glucuronidation_(aromatic_=n-)	UGTs
O-glucuronidation_(N-hydroxyl)	UGTs
O-glucuronidation_(aliphatic_carboxyl)	UGTs
O-glucuronidation_(aliphatic_hydroxyl)	UGTs
O-glucuronidation_(aromatic_carboxyl)	UGTs
O-glucuronidation_(aromatic_hydroxyl)	UGTs
aliphatic_N_sulfation1	SULTs
aliphatic_N_sulfation2	SULTs
aromatic_N_sulfation2	SULTs
sulfation_(aliphatic_hydroxyl)	SULTs
sulfation_(aniline)	SULTs
sulfation_(aromatic_hydroxyl)	SULTs
Glutathionation(+SX)	GSTs
